Id,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities,country+province,Lat,Long,day_from_jan_first,temp,min,max,stp,wdsp,prcp,fog
27,28,,Afghanistan,2020-02-18,0.0,0.0,Afghanistan-,33.0,65.0,49,32.8,24.6,46.2,779.3,6.5,0.04,1
28,29,,Afghanistan,2020-02-19,0.0,0.0,Afghanistan-,33.0,65.0,50,23.9,16.2,33.1,778.6,5,0.04,1
29,30,,Afghanistan,2020-02-20,0.0,0.0,Afghanistan-,33.0,65.0,51,26.0,12.9,38.3,778.5,7.2,0.0,0
30,31,,Afghanistan,2020-02-21,0.0,0.0,Afghanistan-,33.0,65.0,52,34.5,22.6,44.4,778.5,6.4,0.0,1
31,32,,Afghanistan,2020-02-22,0.0,0.0,Afghanistan-,33.0,65.0,53,37.9,26.4,52.0,781.1,5.6,0.0,1
32,33,,Afghanistan,2020-02-23,0.0,0.0,Afghanistan-,33.0,65.0,54,39.3,28.2,50.2,779.4,6.4,0.0,1
33,34,,Afghanistan,2020-02-24,1.0,0.0,Afghanistan-,33.0,65.0,55,40.0,32.4,48.0,778.4,4,0.47,1
34,35,,Afghanistan,2020-02-25,1.0,0.0,Afghanistan-,33.0,65.0,56,40.2,32.9,47.5,778.1,5.8,0.0,1
35,36,,Afghanistan,2020-02-26,1.0,0.0,Afghanistan-,33.0,65.0,57,46.7,35.2,55.9,775.4,6.2,0.0,1
36,37,,Afghanistan,2020-02-27,1.0,0.0,Afghanistan-,33.0,65.0,58,39.3,33.4,48.0,772.6,5.8,1.57,1
37,38,,Afghanistan,2020-02-28,1.0,0.0,Afghanistan-,33.0,65.0,59,36.5,29.5,44.8,773.4,2.8,0.47,1
38,39,,Afghanistan,2020-02-29,1.0,0.0,Afghanistan-,33.0,65.0,60,36.5,29.5,44.8,773.4,2.8,0.47,1
39,40,,Afghanistan,2020-03-01,1.0,0.0,Afghanistan-,33.0,65.0,61,58.6,45.7,73.4,999.9,1.4,0.0,0
40,41,,Afghanistan,2020-03-02,1.0,0.0,Afghanistan-,33.0,65.0,62,36.3,32.2,48.7,771.7,5.8,0.0,1
41,42,,Afghanistan,2020-03-03,1.0,0.0,Afghanistan-,33.0,65.0,63,36.3,32.2,48.7,771.7,5.8,0.0,1
42,43,,Afghanistan,2020-03-04,1.0,0.0,Afghanistan-,33.0,65.0,64,35.4,28.4,47.7,771.1,3.4,0.35,1
43,44,,Afghanistan,2020-03-05,1.0,0.0,Afghanistan-,33.0,65.0,65,31.9,27.3,38.5,772.6,5.1,1.57,1
44,45,,Afghanistan,2020-03-06,1.0,0.0,Afghanistan-,33.0,65.0,66,34.1,25.2,45.0,773.5,4.6,0.0,1
45,46,,Afghanistan,2020-03-07,1.0,0.0,Afghanistan-,33.0,65.0,67,25.0,18.1,34.7,774.9,6.6,0.0,1
46,47,,Afghanistan,2020-03-08,4.0,0.0,Afghanistan-,33.0,65.0,68,28.6,16.5,42.1,774.7,3.6,0.0,1
47,48,,Afghanistan,2020-03-09,4.0,0.0,Afghanistan-,33.0,65.0,69,31.1,23.0,41.9,774.0,4.4,0.0,1
48,49,,Afghanistan,2020-03-10,5.0,0.0,Afghanistan-,33.0,65.0,70,28.9,24.3,39.0,773.3,5.3,0.12,1
49,50,,Afghanistan,2020-03-11,7.0,0.0,Afghanistan-,33.0,65.0,71,26.7,21.7,32.9,772.3,3.9,0.0,1
50,51,,Afghanistan,2020-03-12,7.0,0.0,Afghanistan-,33.0,65.0,72,30.7,16.9,47.7,775.4,2.9,0.0,1
51,52,,Afghanistan,2020-03-13,7.0,0.0,Afghanistan-,33.0,65.0,73,35.7,24.3,53.1,778.8,3,0.0,1
52,53,,Afghanistan,2020-03-14,11.0,0.0,Afghanistan-,33.0,65.0,74,36.4,26.8,53.4,778.2,5.3,0.0,1
53,54,,Afghanistan,2020-03-15,16.0,0.0,Afghanistan-,33.0,65.0,75,40.1,29.3,52.7,777.7,9,0.0,0
54,55,,Afghanistan,2020-03-16,21.0,0.0,Afghanistan-,33.0,65.0,76,40.1,29.3,52.7,777.7,9,0.0,0
55,56,,Afghanistan,2020-03-17,22.0,0.0,Afghanistan-,33.0,65.0,77,43.8,35.8,56.3,778.5,4.8,0.04,1
56,57,,Afghanistan,2020-03-18,22.0,0.0,Afghanistan-,33.0,65.0,78,43.8,35.8,56.3,778.5,4.8,0.04,1
57,58,,Afghanistan,2020-03-19,22.0,0.0,Afghanistan-,33.0,65.0,79,45.2,32.0,59.7,775.3,5.3,0.31,1
58,59,,Afghanistan,2020-03-20,24.0,0.0,Afghanistan-,33.0,65.0,80,39.4,32.7,43.5,773.2,4.8,1.22,1
59,60,,Afghanistan,2020-03-21,24.0,0.0,Afghanistan-,33.0,65.0,81,42.4,34.7,54.3,776.3,2.7,2.2,1
60,61,,Afghanistan,2020-03-22,40.0,1.0,Afghanistan-,33.0,65.0,82,44.7,35.8,53.8,774.7,7.5,0.0,1
61,62,,Afghanistan,2020-03-23,40.0,1.0,Afghanistan-,33.0,65.0,83,45.0,37.9,50.4,769.8,7.3,0.47,1
62,63,,Afghanistan,2020-03-24,74.0,1.0,Afghanistan-,33.0,65.0,84,33.1,24.1,43.2,771.6,4.6,5.43,1
63,64,,Afghanistan,2020-03-25,84.0,2.0,Afghanistan-,33.0,65.0,85,36.8,23.7,46.4,773.6,5.2,1.22,1
64,65,,Afghanistan,2020-03-26,94.0,4.0,Afghanistan-,33.0,65.0,86,36.8,23.7,46.4,773.6,5.2,1.22,1
100,101,,Albania,2020-01-22,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,22,42.3,31.3,55.8,18.9,0.2,0.0,0
101,102,,Albania,2020-01-23,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,23,44.1,34.2,59.4,13.9,0.2,0.0,0
102,103,,Albania,2020-01-24,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,24,46.7,32.0,63.0,15.4,0.8,0.0,0
103,104,,Albania,2020-01-25,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,25,51.5,42.4,59.0,13.8,0.7,0.0,1
104,105,,Albania,2020-01-26,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,26,52.5,49.6,55.8,8.8,0.5,0.06,1
105,106,,Albania,2020-01-27,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,27,50.9,49.3,55.0,4.4,2.5,1.38,1
106,107,,Albania,2020-01-28,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,28,52.7,48.2,57.2,4.1,1.6,0.08,1
107,108,,Albania,2020-01-29,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,29,54.0,50.4,62.2,999.0,1.7,1.1,1
108,109,,Albania,2020-01-30,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,30,49.8,43.5,60.4,5.1,1.7,0.39,1
109,110,,Albania,2020-01-31,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,31,49.5,37.4,62.6,8.7,1.1,0.0,0
110,111,,Albania,2020-02-01,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,32,55.1,49.1,65.1,7.5,1.5,0.01,1
111,112,,Albania,2020-02-02,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,33,55.7,50.0,64.4,7.2,1.5,0.0,0
112,113,,Albania,2020-02-03,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,34,55.9,46.4,65.1,5.9,1.4,0.0,0
113,114,,Albania,2020-02-04,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,35,56.1,46.8,65.5,995.8,4,0.0,1
114,115,,Albania,2020-02-05,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,36,47.4,42.1,53.6,985.0,6,0.24,1
115,116,,Albania,2020-02-06,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,37,42.4,37.4,50.0,1.5,7.5,0.0,0
116,117,,Albania,2020-02-07,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,38,42.6,33.8,57.9,9.0,1,0.0,0
117,118,,Albania,2020-02-08,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,39,46.3,31.6,59.0,14.0,0.3,0.0,0
118,119,,Albania,2020-02-09,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,40,46.3,34.7,61.5,18.1,1,0.0,0
119,120,,Albania,2020-02-10,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,41,51.0,42.1,59.4,12.5,1.8,0.0,0
120,121,,Albania,2020-02-11,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,42,59.0,53.6,64.4,1.9,2.5,0.0,0
121,122,,Albania,2020-02-12,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,43,57.5,53.2,65.5,2.1,2,0.0,1
122,123,,Albania,2020-02-13,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,44,53.8,44.6,67.6,9.1,0.8,0.0,0
123,124,,Albania,2020-02-14,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,45,51.9,48.2,57.6,4.0,2.1,0.59,1
124,125,,Albania,2020-02-15,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,46,51.2,39.9,65.1,7.7,1.8,0.0,0
125,126,,Albania,2020-02-16,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,47,51.2,40.1,64.8,14.6,1.2,0.0,0
126,127,,Albania,2020-02-17,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,48,50.6,38.5,64.4,13.3,0.7,0.0,0
127,128,,Albania,2020-02-18,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,49,50.7,39.2,62.2,8.3,0.8,0.0,0
128,129,,Albania,2020-02-19,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,50,52.5,45.5,64.0,5.1,0.4,0.0,0
129,130,,Albania,2020-02-20,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,51,51.2,46.8,58.1,2.6,4.1,0.21,1
130,131,,Albania,2020-02-21,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,52,45.7,33.1,58.3,8.1,0.8,0.0,0
131,132,,Albania,2020-02-22,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,53,49.0,40.6,58.6,13.1,3.3,0.0,0
132,133,,Albania,2020-02-23,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,54,48.5,36.3,60.1,13.4,1.5,0.0,0
133,134,,Albania,2020-02-24,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,55,51.6,39.2,66.2,7.4,2.6,0.0,0
134,135,,Albania,2020-02-25,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,56,55.6,43.2,67.1,2.2,0.8,0.0,0
135,136,,Albania,2020-02-26,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,57,57.1,46.4,65.8,993.9,4.5,0.0,0
136,137,,Albania,2020-02-27,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,58,48.9,44.6,56.5,995.2,5,0.47,1
137,138,,Albania,2020-02-28,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,59,46.0,41.0,53.2,999.3,2.3,0.63,1
138,139,,Albania,2020-02-29,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,60,45.8,33.8,59.0,6.3,1.7,0.0,0
139,140,,Albania,2020-03-01,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,61,52.4,39.6,67.3,3.9,1.2,0.0,0
140,141,,Albania,2020-03-02,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,62,63.0,52.7,69.8,998.5,5.5,0.0,0
141,142,,Albania,2020-03-03,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,63,63.3,54.7,70.7,993.0,7.2,0.0,1
142,143,,Albania,2020-03-04,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,64,50.6,47.1,54.5,993.9,2.1,1.34,1
143,144,,Albania,2020-03-05,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,65,53.0,46.4,61.7,996.4,1.5,0.01,0
144,145,,Albania,2020-03-06,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,66,52.9,44.6,62.6,995.0,2.4,0.08,1
145,146,,Albania,2020-03-07,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,67,52.7,49.6,57.9,995.4,2,0.87,1
146,147,,Albania,2020-03-08,0.0,0.0,Albania-,41.15329999999996,20.168300000000023,68,52.6,48.2,59.9,999.4,3.5,0.79,1
147,148,,Albania,2020-03-09,2.0,0.0,Albania-,41.15329999999996,20.168300000000023,69,52.2,47.5,60.1,998.4,2.1,0.01,1
148,149,,Albania,2020-03-10,10.0,0.0,Albania-,41.15329999999996,20.168300000000023,70,52.0,40.1,62.6,999.4,1.4,0.0,0
149,150,,Albania,2020-03-11,12.0,1.0,Albania-,41.15329999999996,20.168300000000023,71,52.8,44.6,63.0,5.4,2.4,0.0,0
150,151,,Albania,2020-03-12,23.0,1.0,Albania-,41.15329999999996,20.168300000000023,72,56.1,44.6,72.5,7.0,0.5,0.0,0
151,152,,Albania,2020-03-13,33.0,1.0,Albania-,41.15329999999996,20.168300000000023,73,58.4,49.3,74.1,1.0,0.8,0.0,0
152,153,,Albania,2020-03-14,38.0,1.0,Albania-,41.15329999999996,20.168300000000023,74,59.2,50.7,72.7,999.9,0.8,0.0,0
153,154,,Albania,2020-03-15,42.0,1.0,Albania-,41.15329999999996,20.168300000000023,75,55.8,52.2,59.7,2.2,3.3,0.51,1
154,155,,Albania,2020-03-16,51.0,1.0,Albania-,41.15329999999996,20.168300000000023,76,55.5,43.2,68.7,10.9,5,0.0,0
155,156,,Albania,2020-03-17,55.0,1.0,Albania-,41.15329999999996,20.168300000000023,77,52.7,42.1,63.7,15.3,2.8,0.0,0
156,157,,Albania,2020-03-18,59.0,2.0,Albania-,41.15329999999996,20.168300000000023,78,56.4,42.8,72.3,10.9,1.9,0.0,0
157,158,,Albania,2020-03-19,64.0,2.0,Albania-,41.15329999999996,20.168300000000023,79,57.9,47.3,68.4,11.2,1.5,0.0,0
158,159,,Albania,2020-03-20,70.0,2.0,Albania-,41.15329999999996,20.168300000000023,80,56.0,45.5,68.7,9.0,2.5,0.0,0
159,160,,Albania,2020-03-21,76.0,2.0,Albania-,41.15329999999996,20.168300000000023,81,57.5,44.6,73.4,4.2,1,0.0,0
160,161,,Albania,2020-03-22,89.0,2.0,Albania-,41.15329999999996,20.168300000000023,82,58.5,48.2,69.8,0.1,2,0.0,1
161,162,,Albania,2020-03-23,104.0,4.0,Albania-,41.15329999999996,20.168300000000023,83,51.1,46.8,56.1,0.8,2.7,0.01,1
162,163,,Albania,2020-03-24,123.0,5.0,Albania-,41.15329999999996,20.168300000000023,84,44.2,39.2,51.4,3.1,2.3,0.03,0
163,164,,Albania,2020-03-25,146.0,5.0,Albania-,41.15329999999996,20.168300000000023,85,47.3,34.7,60.8,1.5,5,0.0,0
164,165,,Albania,2020-03-26,174.0,6.0,Albania-,41.15329999999996,20.168300000000023,86,47.3,34.7,60.8,1.5,5,0.0,0
200,201,,Algeria,2020-01-22,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,22,64.9,49.6,82.4,999.9,5.5,0.0,0
201,202,,Algeria,2020-01-23,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,23,62.0,44.6,80.6,999.9,1.6,0.0,0
202,203,,Algeria,2020-01-24,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,24,62.6,48.2,80.6,999.9,0.9,0.0,0
203,204,,Algeria,2020-01-25,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,25,64.8,50.0,77.0,999.9,3.8,0.0,0
204,205,,Algeria,2020-01-26,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,26,68.1,55.4,82.4,999.9,2.7,0.0,0
205,206,,Algeria,2020-01-27,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,27,66.9,59.0,78.8,999.9,13.2,0.0,0
206,207,,Algeria,2020-01-28,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,28,63.8,55.4,75.2,999.9,14.5,0.0,0
207,208,,Algeria,2020-01-29,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,29,64.2,55.0,75.6,999.9,14.4,0.0,0
208,209,,Algeria,2020-01-30,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,30,64.0,53.2,77.0,999.9,11.5,0.0,0
209,210,,Algeria,2020-01-31,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,31,66.9,52.7,82.4,999.9,12.4,0.0,0
210,211,,Algeria,2020-02-01,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,32,69.9,59.0,82.4,999.9,11.9,0.0,0
211,212,,Algeria,2020-02-02,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,33,67.4,57.2,79.0,999.9,14.2,0.0,0
212,213,,Algeria,2020-02-03,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,34,67.0,58.6,78.8,999.9,18.2,0.0,0
213,214,,Algeria,2020-02-04,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,35,70.3,57.0,82.6,999.9,13.7,0.0,0
214,215,,Algeria,2020-02-05,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,36,68.1,50.0,84.2,999.9,6.1,0.0,0
215,216,,Algeria,2020-02-06,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,37,65.2,57.2,75.2,999.9,16.4,0.0,0
216,217,,Algeria,2020-02-07,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,38,62.4,51.8,75.2,999.9,20.5,0.0,0
217,218,,Algeria,2020-02-08,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,39,65.8,55.0,82.4,999.9,11.7,0.0,0
218,219,,Algeria,2020-02-09,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,40,67.9,55.4,82.4,999.9,13.6,0.0,0
219,220,,Algeria,2020-02-10,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,41,70.1,59.0,82.6,999.9,15.2,0.0,0
220,221,,Algeria,2020-02-11,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,42,70.4,60.8,81.0,999.9,11,0.0,0
221,222,,Algeria,2020-02-12,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,43,71.3,65.1,80.6,999.9,5.5,0.0,0
222,223,,Algeria,2020-02-13,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,44,72.0,59.0,84.4,999.9,4.9,0.0,0
223,224,,Algeria,2020-02-14,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,45,70.4,59.0,82.6,999.9,12.6,0.0,0
224,225,,Algeria,2020-02-15,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,46,72.9,64.0,84.2,999.9,17.2,0.0,0
225,226,,Algeria,2020-02-16,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,47,72.9,64.2,84.4,999.9,20,0.0,0
226,227,,Algeria,2020-02-17,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,48,69.9,61.5,81.5,999.9,17.3,0.0,0
227,228,,Algeria,2020-02-18,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,49,66.1,53.1,77.0,999.9,15.7,0.0,0
228,229,,Algeria,2020-02-19,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,50,67.7,55.4,80.6,999.9,14.7,0.0,0
229,230,,Algeria,2020-02-20,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,51,69.9,58.5,82.4,999.9,15.1,0.0,0
230,231,,Algeria,2020-02-21,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,52,71.4,60.8,85.1,999.9,13.4,0.0,0
231,232,,Algeria,2020-02-22,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,53,70.7,60.8,82.4,999.9,19.5,0.0,0
232,233,,Algeria,2020-02-23,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,54,67.7,56.1,78.8,999.9,19.1,0.0,0
233,234,,Algeria,2020-02-24,0.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,55,67.7,55.0,81.0,999.9,18.2,0.0,0
234,235,,Algeria,2020-02-25,1.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,56,69.8,60.6,82.4,999.9,6.7,0.0,0
235,236,,Algeria,2020-02-26,1.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,57,68.4,47.5,84.2,999.9,5.1,0.0,0
236,237,,Algeria,2020-02-27,1.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,58,69.5,51.6,82.4,999.9,8,0.0,0
237,238,,Algeria,2020-02-28,1.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,59,70.6,54.7,84.2,999.9,10.7,0.0,0
238,239,,Algeria,2020-02-29,1.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,60,73.7,61.5,89.6,999.9,9.5,0.0,0
239,240,,Algeria,2020-03-01,1.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,61,74.5,62.6,90.0,999.9,7.3,0.0,0
240,241,,Algeria,2020-03-02,3.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,62,73.1,53.6,90.0,999.9,2.8,0.0,0
241,242,,Algeria,2020-03-03,5.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,63,72.8,51.4,87.8,999.9,6.4,0.0,0
242,243,,Algeria,2020-03-04,12.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,64,73.8,53.6,89.6,999.9,3.8,0.0,0
243,244,,Algeria,2020-03-05,12.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,65,70.7,51.8,87.8,999.9,3.6,0.0,0
244,245,,Algeria,2020-03-06,17.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,66,72.8,50.0,93.2,999.9,3.4,0.0,0
245,246,,Algeria,2020-03-07,17.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,67,71.3,55.0,79.9,999.9,16.3,0.0,0
246,247,,Algeria,2020-03-08,19.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,68,64.5,55.4,74.3,999.9,17.3,0.0,0
247,248,,Algeria,2020-03-09,20.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,69,63.8,52.9,75.6,999.9,14.6,0.0,0
248,249,,Algeria,2020-03-10,20.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,70,63.1,42.6,79.0,999.9,9.3,0.0,0
249,250,,Algeria,2020-03-11,20.0,0.0,Algeria-,28.033899999999964,1.6595999999999984,71,64.0,41.4,75.2,999.9,17.4,0.0,0
250,251,,Algeria,2020-03-12,24.0,1.0,Algeria-,28.033899999999964,1.6595999999999984,72,68.1,56.7,84.2,999.9,22.5,0.0,0
251,252,,Algeria,2020-03-13,26.0,2.0,Algeria-,28.033899999999964,1.6595999999999984,73,70.9,59.0,86.0,999.9,10.4,0.0,0
252,253,,Algeria,2020-03-14,37.0,3.0,Algeria-,28.033899999999964,1.6595999999999984,74,74.8,61.2,91.4,999.9,3.4,0.0,0
253,254,,Algeria,2020-03-15,48.0,4.0,Algeria-,28.033899999999964,1.6595999999999984,75,77.7,61.7,93.2,999.9,7.4,0.0,0
254,255,,Algeria,2020-03-16,54.0,4.0,Algeria-,28.033899999999964,1.6595999999999984,76,78.1,66.7,89.8,999.9,12.4,0.0,0
255,256,,Algeria,2020-03-17,60.0,4.0,Algeria-,28.033899999999964,1.6595999999999984,77,73.5,54.7,91.4,999.9,2.2,0.0,0
256,257,,Algeria,2020-03-18,74.0,7.0,Algeria-,28.033899999999964,1.6595999999999984,78,78.5,64.2,91.8,999.9,11.7,0.0,0
257,258,,Algeria,2020-03-19,87.0,9.0,Algeria-,28.033899999999964,1.6595999999999984,79,79.1,66.2,91.4,999.9,13.5,0.0,0
258,259,,Algeria,2020-03-20,90.0,11.0,Algeria-,28.033899999999964,1.6595999999999984,80,68.4,51.1,80.6,999.9,6.9,0.0,0
